HOME_TEAM,AWAY_TEAM,SEASON,DATE,REFEREE,DIFF_HA_LAST_5_HOME_WINS,DIFF_HA_LAST_5_HOME_DRAWS,DIFF_HA_LAST_5_HOME_LOSSES,DIFF_HA_LAST_5_AWAY_WINS,DIFF_HA_LAST_5_AWAY_DRAWS,DIFF_HA_LAST_5_AWAY_LOSSES,DIFF_HA_LAST_5_WINS,DIFF_HA_LAST_5_DRAWS,DIFF_HA_LAST_5_LOSSES,DIFF_HA_GD_LAST_5,DIFF_HA_PTS_THIS_SEASON,DIFF_HA_CURRENT_POSITION,DIFF_HA_SHOTS_LAST_5,DIFF_HA_SHOTS_ON_TARGET_LAST_5,HOME_TEAM_BIG_6_FLAG,AWAY_TEAM_BIG_6_FLAG,HOME_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,AWAY_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,SEASON_MONTH_NUM,HOME_TEAM_GAME_NUM,AWAY_TEAM_GAME_NUM,RESULT,FTHG,FTAG,DIFF_HA_FT_GOALS,TOT_GOALS
QPR,Everton,2014/2015,2015-03-22,J Moss,0.0,-3.0,3.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-9.0,5,7.0,-3.0,0,0,1,0,8,30,30,Home Loss,1.0,2.0,-1.0,3.0
Stoke,Everton,2014/2015,2015-03-04,M Clattenburg,2.0,-2.0,0.0,1.0,2.0,-3.0,2.0,-1.0,-1.0,3.0,11.0,-5,14.0,7.0,0,0,0,0,8,28,28,Home Win,2.0,0.0,2.0,2.0
Man City,Everton,2014/2015,2014-12-06,A Marriner,1.0,0.0,-1.0,2.0,-1.0,-1.0,3.0,-2.0,-1.0,8.0,12.0,-9,22.0,8.0,1,0,0,0,5,15,15,Home Win,1.0,0.0,1.0,1.0
Arsenal,Everton,2014/2015,2015-03-01,A Marriner,4.0,-3.0,-1.0,1.0,1.0,-2.0,3.0,-3.0,0.0,8.0,20.0,-9,-4.0,11.0,1,0,0,0,8,27,27,Home Win,2.0,0.0,2.0,2.0
Aston Villa,Everton,2014/2015,2015-05-02,M Clattenburg,-2.0,-1.0,3.0,1.0,-1.0,0.0,-3.0,0.0,3.0,-9.0,-12.0,6,-1.0,-8.0,0,0,0,0,10,35,35,Home Win,3.0,2.0,1.0,5.0
Chelsea,Everton,2014/2015,2015-02-11,J Moss,3.0,-2.0,-1.0,1.0,1.0,-2.0,2.0,-2.0,0.0,7.0,29.0,-11,7.0,16.0,1,0,0,0,7,25,25,Home Win,1.0,0.0,1.0,1.0
Swansea,Everton,2014/2015,2015-04-11,M Oliver,1.0,-3.0,2.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,9.0,-4,-6.0,0.0,0,0,0,0,9,32,32,Draw,1.0,1.0,0.0,2.0
Tottenham,Everton,2014/2015,2014-11-30,M Oliver,0.0,-2.0,2.0,0.0,0.0,0.0,-1.0,-2.0,3.0,-9.0,0.0,-1,14.0,0.0,1,0,0,0,4,13,13,Home Win,2.0,1.0,1.0,3.0
West Ham,Everton,2014/2015,2015-05-16,K Friend,-2.0,0.0,2.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-3.0,3.0,-1,-11.0,-16.0,0,0,0,0,10,37,37,Home Loss,1.0,2.0,-1.0,3.0
Southampton,Everton,2014/2015,2014-12-20,J Moss,1.0,-2.0,1.0,1.0,0.0,-1.0,-2.0,0.0,2.0,-7.0,5.0,-5,5.0,-4.0,0,0,0,0,5,17,17,Home Win,3.0,0.0,3.0,3.0
